LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX_1,SEX_2,EDU_0,EDU_1,EDU_2,EDU_3,EDU_4,EDU_5,EDU_6,MARRIAGE_0,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3,pay_bucket_0_count,pay_bucket_1_count,pay_bucket_2_count,pay_bucket_3_count,pay_bucket_4_count,pay_bucket_5_count,pay_bucket_6_count,pay_bucket_7_count,pay_bucket_8_count,pay_bucket_-2_count,pay_bucket_-1_count,pay_bucket_0_flag,pay_bucket_1_flag,pay_bucket_2_flag,pay_bucket_3_flag,pay_bucket_4_flag,pay_bucket_5_flag,pay_bucket_6_flag,pay_bucket_7_flag,pay_bucket_8_flag,pay_bucket_-2_flag,pay_bucket_-1_flag,pay_amt_total,bill_amt_total,pay_to_billed_ratio,zero_bill_amount,utilization_avg,utilization_max,group,default payment next month
40000,28,10371,11895,11228,2475,5341,6255,2567,0,2475,5341,1500,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,11883,47565,0.2498265531378114,0,0.1981875,0.297375,M,1
320000,35,12233,16490,20011,17918,18627,19167,7000,4100,1000,1000,1000,1000,1,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15100,104446,0.14457231488041666,0,0.05439895833333334,0.062534375,M,0
260000,35,188,188,188,188,194,188,188,188,188,194,188,221,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1167,1134,1.029100529100529,0,0.0007269230769230769,0.0007461538461538462,M,0
360000,36,308711,305594,306176,304645,315118,315782,11000,13000,11019,23000,13300,3,0,1,0,1,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,71322,1856026,0.03842726341118066,0,0.8592712962962964,0.8771722222222222,M,0
500000,25,-46,9412,1260,0,1121,6566,9458,1260,0,1121,6000,3000,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1,20839,18313,1.1379348004150058,0,0.006104333333333333,0.018824,M,0
90000,32,0,323,0,2520,1651,0,323,0,2520,1651,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,4494,4494,1.0,0,0.008322222222222222,0.028,M,0
20000,50,9164,0,0,0,0,0,0,50000,0,1300,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,51300,9164,5.597992143168922,0,0.07636666666666667,0.4582,M,1
80000,27,400,600,600,100,900,2934,600,600,100,900,2934,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,5134,5534,0.9277195518612216,0,0.011529166666666667,0.036675,M,0
130000,54,89913,90555,93576,95121,64712,66016,3300,5000,4500,2400,2600,2600,1,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20400,499893,0.04080873306887674,0,0.6408884615384616,0.7317,M,0
130000,26,130318,131351,131352,121931,61755,61453,4700,5108,3860,82367,3041,2000,0,1,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,101076,638160,0.15838661150808575,0,0.8181538461538461,1.0104,M,1
